filename,fold
1-0-0.pt,4
1-0-1.pt,4
1-0-2.pt,4
1-0-3.pt,4
1-0-4.pt,4
1-0-5.pt,4
1-0-6.pt,4
1-0-7.pt,4
1-0-8.pt,4
1-0-9.pt,4
1-0-10.pt,4
1-0-11.pt,4
1-0-12.pt,4
1-0-13.pt,4
1-0-14.pt,4
1-0-15.pt,4
1-0-16.pt,4
1-0-17.pt,4
1-0-18.pt,4
1-0-19.pt,4
1-0-20.pt,4
1-0-21.pt,4
1-0-22.pt,4
1-0-23.pt,4
1-0-24.pt,4
1-0-25.pt,4
1-0-26.pt,4
1-0-27.pt,4
1-0-28.pt,4
1-0-29.pt,4
1-0-30.pt,4
1-0-31.pt,4
1-0-32.pt,4
1-0-33.pt,4
1-0-34.pt,4
1-0-35.pt,4
1-0-36.pt,4
1-0-37.pt,4
1-0-38.pt,4
1-1-0.pt,4
1-1-1.pt,4
1-1-2.pt,4
1-1-3.pt,4
1-1-4.pt,4
1-1-5.pt,4
1-1-6.pt,4
1-1-7.pt,4
1-1-8.pt,4
1-1-9.pt,4
1-1-10.pt,4
1-1-11.pt,4
1-1-12.pt,4
1-1-13.pt,4
1-1-14.pt,4
1-1-15.pt,4
1-1-16.pt,4
1-1-17.pt,4
1-1-18.pt,4
1-1-19.pt,4
1-1-20.pt,4
1-1-21.pt,4
1-1-22.pt,4
1-1-23.pt,4
1-1-24.pt,4
1-1-25.pt,4
1-1-26.pt,4
1-1-27.pt,4
1-1-28.pt,4
1-1-29.pt,4
1-1-30.pt,4
1-1-31.pt,4
1-1-32.pt,4
1-1-33.pt,4
1-1-34.pt,4
1-1-35.pt,4
1-1-36.pt,4
1-1-37.pt,4
1-1-38.pt,4
1-2-0.pt,4
1-2-1.pt,4
1-2-2.pt,4
1-2-3.pt,4
1-2-4.pt,4
1-2-5.pt,4
1-2-6.pt,4
1-2-7.pt,4
1-2-8.pt,4
1-2-9.pt,4
1-2-10.pt,4
1-2-11.pt,4
1-2-12.pt,4
1-2-13.pt,4
1-2-14.pt,4
1-2-15.pt,4
1-2-16.pt,4
1-2-17.pt,4
1-2-18.pt,4
1-2-19.pt,4
1-2-20.pt,4
1-2-21.pt,4
1-2-22.pt,4
1-2-23.pt,4
1-2-24.pt,4
1-2-25.pt,4
1-2-26.pt,4
1-2-27.pt,4
1-2-28.pt,4
1-2-29.pt,4
1-2-30.pt,4
1-2-31.pt,4
1-2-32.pt,4
1-2-33.pt,4
1-2-34.pt,4
1-2-35.pt,4
1-2-36.pt,4
1-2-37.pt,4
1-2-38.pt,4
1-3-0.pt,4
1-3-1.pt,4
1-3-2.pt,4
1-3-3.pt,4
1-3-4.pt,4
1-3-5.pt,4
1-3-6.pt,4
1-3-7.pt,4
1-3-8.pt,4
1-3-9.pt,4
1-3-10.pt,4
1-3-11.pt,4
1-3-12.pt,4
1-3-13.pt,4
1-3-14.pt,4
1-3-15.pt,4
1-3-16.pt,4
