filename,fold
1-0-0.pt,0
1-0-1.pt,0
1-0-10.pt,0
1-0-11.pt,0
1-0-12.pt,0
1-0-13.pt,0
1-0-14.pt,0
1-0-15.pt,0
1-0-16.pt,0
1-0-17.pt,0
1-0-2.pt,0
1-0-3.pt,0
1-0-4.pt,0
1-0-5.pt,0
1-0-6.pt,0
1-0-7.pt,0
1-0-8.pt,0
1-0-9.pt,0
1-1-0.pt,0
1-1-1.pt,0
1-1-10.pt,0
1-1-11.pt,0
1-1-12.pt,0
1-1-13.pt,0
1-1-14.pt,0
1-1-15.pt,0
1-1-16.pt,0
1-1-17.pt,0
1-1-2.pt,0
1-1-3.pt,0
1-1-4.pt,0
1-1-5.pt,0
1-1-6.pt,0
1-1-7.pt,0
1-1-8.pt,0
1-1-9.pt,0
1-2-0.pt,0
1-2-1.pt,0
1-2-10.pt,0
1-2-11.pt,0
1-2-12.pt,0
1-2-13.pt,0
1-2-14.pt,0
1-2-15.pt,0
1-2-16.pt,0
1-2-17.pt,0
1-2-2.pt,0
1-2-3.pt,0
1-2-4.pt,0
1-2-5.pt,0
1-2-6.pt,0
1-2-7.pt,0
1-2-8.pt,0
1-2-9.pt,0
1-3-0.pt,0
1-3-1.pt,0
1-3-10.pt,0
1-3-11.pt,0
1-3-12.pt,0
1-3-13.pt,0
1-3-14.pt,0
1-3-15.pt,0
1-3-16.pt,0
1-3-17.pt,0
1-3-2.pt,0
1-3-3.pt,0
1-3-4.pt,0
1-3-5.pt,0
1-3-6.pt,0
1-3-7.pt,0
1-3-8.pt,0
1-3-9.pt,0
1-4-0.pt,0
1-4-1.pt,0
1-4-10.pt,0
1-4-11.pt,0
1-4-12.pt,0
1-4-13.pt,0
1-4-14.pt,0
1-4-15.pt,0
1-4-16.pt,0
1-4-17.pt,0
1-4-2.pt,0
1-4-3.pt,0
1-4-4.pt,0
1-4-5.pt,0
1-4-6.pt,0
1-4-7.pt,0
1-4-8.pt,0
1-4-9.pt,0
10-0-0.pt,4
10-0-1.pt,4
10-0-10.pt,4
10-0-11.pt,4
10-0-12.pt,4
10-0-13.pt,4
10-0-14.pt,4
10-0-15.pt,4
10-0-16.pt,4
10-0-17.pt,4
10-0-2.pt,4
10-0-3.pt,4
10-0-4.pt,4
10-0-5.pt,4
10-0-6.pt,4
10-0-7.pt,4
10-0-8.pt,4
10-0-9.pt,4
10-1-0.pt,4
10-1-1.pt,4
10-1-10.pt,4
10-1-11.pt,4
10-1-12.pt,4
10-1-13.pt,4
10-1-14.pt,4
10-1-15.pt,4
10-1-16.pt,4
10-1-17.pt,4
10-1-2.pt,4
10-1-3.pt,4
10-1-4.pt,4
10-1-5.pt,4
10-1-6.pt,4
10-1-7.pt,4
10-1-8.pt,4
10-1-9.pt,4
10-2-0.pt,4
10-2-1.pt,4
10-2-10.pt,4
10-2-11.pt,4
10-2-12.pt,4
10-2-13.pt,4
10-2-14.pt,4
10-2-15.pt,4
10-2-16.pt,4
10-2-17.pt,4
10-2-2.pt,4
10-2-3.pt,4
10-2-4.pt,4
10-2-5.pt,4
10-2-6.pt,4
10-2-7.pt,4
10-2-8.pt,4
10-2-9.pt,4
10-3-0.pt,4
10-3-1.pt,4
10-3-10.pt,4
10-3-11.pt,4
10-3-12.pt,4
10-3-13.pt,4
10-3-14.pt,4
10-3-15.pt,4
10-3-16.pt,4
10-3-17.pt,4
10-3-2.pt,4
10-3-3.pt,4
10-3-4.pt,4
10-3-5.pt,4
10-3-6.pt,4
10-3-7.pt,4
10-3-8.pt,4
10-3-9.pt,4
10-4-0.pt,4
10-4-1.pt,4
10-4-10.pt,4
10-4-11.pt,4
10-4-12.pt,4
10-4-13.pt,4
10-4-14.pt,4
10-4-15.pt,4
10-4-16.pt,4
10-4-17.pt,4
10-4-2.pt,4
10-4-3.pt,4
10-4-4.pt,4
10-4-5.pt,4
10-4-6.pt,4
10-4-7.pt,4
10-4-8.pt,4
10-4-9.pt,4
100-0-0.pt,2
100-0-1.pt,2
100-0-10.pt,2
100-0-11.pt,2
100-0-12.pt,2
100-0-13.pt,2
100-0-14.pt,2
100-0-15.pt,2
100-0-16.pt,2
100-0-17.pt,2
100-0-2.pt,2
100-0-3.pt,2
100-0-4.pt,2
100-0-5.pt,2
100-0-6.pt,2
100-0-7.pt,2
100-0-8.pt,2
100-0-9.pt,2
100-1-0.pt,2
100-1-1.pt,2
100-1-10.pt,2
100-1-11.pt,2
100-1-12.pt,2
100-1-13.pt,2
100-1-14.pt,2
100-1-15.pt,2
100-1-16.pt,2
100-1-17.pt,2
100-1-2.pt,2
100-1-3.pt,2
100-1-4.pt,2
100-1-5.pt,2
100-1-6.pt,2
100-1-7.pt,2
100-1-8.pt,2
100-1-9.pt,2
100-2-0.pt,2
100-2-1.pt,2
100-2-10.pt,2
100-2-11.pt,2
100-2-12.pt,2
100-2-13.pt,2
100-2-14.pt,2
100-2-15.pt,2
100-2-16.pt,2
100-2-17.pt,2
100-2-2.pt,2
100-2-3.pt,2
100-2-4.pt,2
100-2-5.pt,2
100-2-6.pt,2
100-2-7.pt,2
100-2-8.pt,2
100-2-9.pt,2
100-3-0.pt,2
100-3-1.pt,2
100-3-10.pt,2
100-3-11.pt,2
100-3-12.pt,2
100-3-13.pt,2
100-3-14.pt,2
100-3-2.pt,2
100-3-3.pt,2
100-3-4.pt,2
100-3-5.pt,2
100-3-6.pt,2
100-3-7.pt,2
100-3-8.pt,2
100-3-9.pt,2
100-4-0.pt,2
100-4-1.pt,2
100-4-2.pt,2
100-4-3.pt,2
100-4-4.pt,2
100-4-5.pt,2
100-4-6.pt,2
100-4-7.pt,2
101-0-0.pt,0
101-0-1.pt,0
101-0-10.pt,0
101-0-11.pt,0
101-0-12.pt,0
101-0-13.pt,0
101-0-14.pt,0
